source,disease,symptom_tags,symptom_text,num_symptoms
fhai50032_symptoms_to_disease_7k,Broken Ankle,if_you_have_a_broken_ankle|you_may_experience_some_of_the_following_signs_and_symptoms:_immediate|throbbing_pain_swelling_bruising_tenderness_deformity_difficulty_or_pain_with_walking_or_bearing_weight,"if you have a broken ankle, you may experience some of the following signs and symptoms: immediate, throbbing pain swelling bruising tenderness deformity difficulty or pain with walking or bearing weight",3
fhai50032_symptoms_to_disease_7k,Broken Arm,a_snap_or_cracking_sound_might_be_your_first_indication_you've_broken_an_arm._signs_and_symptoms_include:_severe_pain|which_might_increase_with_movement_swelling_bruising_deformity|such_as_a_bent_arm_or_wrist_inability_to_turn_your_arm_from_palm_up_to_palm_down_or_vice_versa,"a snap or cracking sound might be your first indication you've broken an arm. signs and symptoms include: severe pain, which might increase with movement swelling bruising deformity, such as a bent arm or wrist inability to turn your arm from palm up to palm down or vice versa",3
fhai50032_symptoms_to_disease_7k,Broken Collarbone,symptoms_of_a_broken_collarbone_include:_pain_that_increases_when_moving_the_shoulder._swelling|tenderness_or_bruising._skin_over_the_break_might_look_like_a_tent_when_gently_pinched._a_bump_on_or_near_the_shoulder._a_grinding_or_crackling_sound_when_moving_the_shoulder._stiffness_or_not_being_able_to_move_the_shoulder._newborns_often_will_not_move_their_arm_for_days_after_breaking_the_collarbone_during_birth_and_will_cry_if_someone_moves_the_arm.,"symptoms of a broken collarbone include: pain that increases when moving the shoulder. swelling, tenderness or bruising. skin over the break might look like a tent when gently pinched. a bump on or near the shoulder. a grinding or crackling sound when moving the shoulder. stiffness or not being able to move the shoulder. newborns often will not move their arm for days after breaking the collarbone during birth and will cry if someone moves the arm.",2
fhai50032_symptoms_to_disease_7k,Broken Foot,if_you_have_a_broken_foot|you_may_experience_some_of_the_following_signs_and_symptoms:_immediate|throbbing_pain_pain_that_increases_with_activity_and_decreases_with_rest_swelling_bruising_tenderness_deformity_difficulty_in_walking_or_bearing_weight,"if you have a broken foot, you may experience some of the following signs and symptoms: immediate, throbbing pain pain that increases with activity and decreases with rest swelling bruising tenderness deformity difficulty in walking or bearing weight",3
fhai50032_symptoms_to_disease_7k,Broken Hand,a_broken_hand_might_cause_these_signs_and_symptoms:_severe_pain_that_might_worsen_when_gripping_or_squeezing_or_moving_your_hand_swelling_tenderness_bruising_obvious_deformity|such_as_a_crooked_finger_stiffness_or_inability_to_move_your_fingers_or_thumb_numbness_in_your_hand_or_fingers_when_to_call_a_doctor_if_you_think_you_might_have_a_broken_hand|see_a_doctor_immediately|especially_if_you_have_numbness|swelling_or_trouble_moving_your_fingers._a_delay_in_diagnosis_and_treatment_can_lead_to_poor_healing|decreased_range_of_motion_and_decreased_grip_strength.,"a broken hand might cause these signs and symptoms: severe pain that might worsen when gripping or squeezing or moving your hand swelling tenderness bruising obvious deformity, such as a crooked finger stiffness or inability to move your fingers or thumb numbness in your hand or fingers when to call a doctor if you think you might have a broken hand, see a doctor immediately, especially if you have numbness, swelling or trouble moving your fingers. a delay in diagnosis and treatment can lead to poor healing, decreased range of motion and decreased grip strength.",6
fhai50032_symptoms_to_disease_7k,Broken Heart Syndrome,symptoms_of_broken_heart_syndrome_can_mimic_a_heart_attack._symptoms_may_include:_chest_pain._shortness_of_breath.,symptoms of broken heart syndrome can mimic a heart attack. symptoms may include: chest pain. shortness of breath.,1
fhai50032_symptoms_to_disease_7k,Broken Leg,the_thighbone_(femur)_is_the_strongest_bone_in_the_body._it_is_usually_obvious_when_the_thighbone_is_broken_because_it_takes_so_much_force_to_break._but_a_break_in_the_shinbone_(tibia)_or_in_the_bone_that_runs_alongside_the_shinbone_(fibula)_may_be_less_obvious._signs_and_symptoms_of_a_broken_leg_may_include:_severe_pain|which_may_worsen_with_movement_swelling_tenderness_bruising_obvious_deformity_or_shortening_of_the_affected_leg_inability_to_walk_toddlers_or_young_children_who_break_a_leg_may_start_limping_or_simply_stop_walking|even_if_they_can't_explain_why.,"the thighbone (femur) is the strongest bone in the body. it is usually obvious when the thighbone is broken because it takes so much force to break. but a break in the shinbone (tibia) or in the bone that runs alongside the shinbone (fibula) may be less obvious. signs and symptoms of a broken leg may include: severe pain, which may worsen with movement swelling tenderness bruising obvious deformity or shortening of the affected leg inability to walk toddlers or young children who break a leg may start limping or simply stop walking, even if they can't explain why.",3
fhai50032_symptoms_to_disease_7k,Broken Nose,signs_and_symptoms_of_a_broken_nose_include:_pain_or_tenderness|especially_when_touching_your_nose_swelling_of_your_nose_and_surrounding_areas_bleeding_from_your_nose_bruising_around_your_nose_or_eyes_crooked_or_misshapen_nose_difficulty_breathing_through_your_nose_discharge_of_mucus_from_your_nose_feeling_that_one_or_both_of_your_nasal_passages_are_blocked,"signs and symptoms of a broken nose include: pain or tenderness, especially when touching your nose swelling of your nose and surrounding areas bleeding from your nose bruising around your nose or eyes crooked or misshapen nose difficulty breathing through your nose discharge of mucus from your nose feeling that one or both of your nasal passages are blocked",2
fhai50032_symptoms_to_disease_7k,Broken Ribs,the_following_can_cause_pain_with_a_broken_rib_or_make_pain_worse:_a_deep_breath._pressure_on_the_injured_area._a_bend_or_a_twist_of_the_body.,the following can cause pain with a broken rib or make pain worse: a deep breath. pressure on the injured area. a bend or a twist of the body.,1
fhai50032_symptoms_to_disease_7k,Broken Toe,signs_and_symptoms_of_a_broken_toe_include:_pain_swelling_change_in_skin_color_from_bruising_or_bleeding_under_the_skin,signs and symptoms of a broken toe include: pain swelling change in skin color from bruising or bleeding under the skin,1
fhai50032_symptoms_to_disease_7k,Broken Wrist,a_broken_wrist_might_cause_these_signs_and_symptoms:_severe_pain_that_might_worsen_when_gripping_or_squeezing_or_moving_your_hand_or_wrist_swelling_tenderness_bruising_obvious_deformity|such_as_a_bent_wrist_when_to_call_a_doctor_if_you_think_you_might_have_a_broken_wrist|see_a_doctor_immediately|especially_if_you_have_numbness|swelling_or_trouble_moving_your_fingers._a_delay_in_diagnosis_and_treatment_can_lead_to_poor_healing|decreased_range_of_motion_and_decreased_grip_strength.,"a broken wrist might cause these signs and symptoms: severe pain that might worsen when gripping or squeezing or moving your hand or wrist swelling tenderness bruising obvious deformity, such as a bent wrist when to call a doctor if you think you might have a broken wrist, see a doctor immediately, especially if you have numbness, swelling or trouble moving your fingers. a delay in diagnosis and treatment can lead to poor healing, decreased range of motion and decreased grip strength.",6
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,cough|high_fever|breathlessness|family_history|mucoid_sputum,"cough, high fever, breathlessness, family history, mucoid sputum",5
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,fatigue|cough|breathlessness|family_history|mucoid_sputum,"fatigue, cough, breathlessness, family history, mucoid sputum",5
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,fatigue|cough|high_fever|breathlessness|family_history,"fatigue, cough, high fever, breathlessness, family history",5
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,fatigue|cough|high_fever|breathlessness|family_history|mucoid_sputum,"fatigue, cough, high fever, breathlessness, family history, mucoid sputum",6
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,fatigue|cough|high_fever|breathlessness|mucoid_sputum,"fatigue, cough, high fever, breathlessness, mucoid sputum",5
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,fatigue|cough|high_fever|family_history|mucoid_sputum,"fatigue, cough, high fever, family history, mucoid sputum",5
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,fatigue|high_fever|breathlessness|family_history|mucoid_sputum,"fatigue, high fever, breathlessness, family history, mucoid sputum",5
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,hey_mom_and_dad|i've_been_feeling_really_tired_lately_and_i_have_a_cough_that_won't_go_away._my_fever_is_really_high_and_my_breathing_has_become_shallow._i've_also_been_coughing_up_a_lot_of_mucous|thick_sputum.,"hey mom and dad, i've been feeling really tired lately and i have a cough that won't go away. my fever is really high and my breathing has become shallow. i've also been coughing up a lot of mucous, thick sputum.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i'm_having_trouble_breathing|and_i'm_coughing_up_a_lot_of_mucus._i_also_have_a_fever_and_feel_really_weak_and_exhausted.,"i'm having trouble breathing, and i'm coughing up a lot of mucus. i also have a fever and feel really weak and exhausted.",2
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i'm_so_tired_and_weak|and_my_fever_is_really_high._it's_been_hard_to_deal_with_all_of_these_symptoms|and_i've_also_been_coughing_up_a_lot_of_mucus._i'm_getting_really_frustrated.,"i'm so tired and weak, and my fever is really high. it's been hard to deal with all of these symptoms, and i've also been coughing up a lot of mucus. i'm getting really frustrated.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_coughing_a_lot_and_having_trouble_breathing._i'm_also_very_tired_and_weak|and_i_have_a_high_fever.,"i've been coughing a lot and having trouble breathing. i'm also very tired and weak, and i have a high fever.",2
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_coughing_a_lot_and_i'm_really_tired._i've_been_coughing_up_a_lot_of_thick_mucus_and_my_fever_is_pretty_high.,i've been coughing a lot and i'm really tired. i've been coughing up a lot of thick mucus and my fever is pretty high.,1
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_coughing_a_lot_and_i_can't_seem_to_get_rid_of_it._i'm_also_short_of_breath_and_i've_been_coughing_up_a_lot_of_thick|mucusy_saliva._i_feel_really_tired_and_weak.,"i've been coughing a lot and i can't seem to get rid of it. i'm also short of breath and i've been coughing up a lot of thick, mucusy saliva. i feel really tired and weak.",2
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_coughing_a_lot_and_it's_hard_to_breathe._i've_been_coughing_up_a_lot_of_mucus_and_my_fever_is_high.,i've been coughing a lot and it's hard to breathe. i've been coughing up a lot of mucus and my fever is high.,1
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_coughing_a_lot_for_a_few_days_now._it's_been_hard_for_me_to_catch_my_breath|and_i've_been_feeling_very_exhausted._i've_also_been_producing_a_lot_of_mucus_when_i_cough.,"i've been coughing a lot for a few days now. it's been hard for me to catch my breath, and i've been feeling very exhausted. i've also been producing a lot of mucus when i cough.",2
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_coughing_a_lot|and_i'm_really_tired._i_have_a_fever|and_it's_hard_to_breathe._i_also_cough_up_a_lot_of_mucous.,"i've been coughing a lot, and i'm really tired. i have a fever, and it's hard to breathe. i also cough up a lot of mucous.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_coughing_a_lot|and_it's_hard_to_breathe._i'm_also_really_tired_and_exhausted._i've_been_coughing_up_a_lot_of_thick|mucusy_stuff._i_have_a_fever|too.,"i've been coughing a lot, and it's hard to breathe. i'm also really tired and exhausted. i've been coughing up a lot of thick, mucusy stuff. i have a fever, too.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_coughing_a_lot|and_it's_hard_to_breathe._i've_also_been_coughing_up_a_lot_of_thick|mucusy_saliva._i've_been_feeling_really_tired|and_i_have_a_fever.,"i've been coughing a lot, and it's hard to breathe. i've also been coughing up a lot of thick, mucusy saliva. i've been feeling really tired, and i have a fever.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_feeling_really_tired_and_weak|and_i_have_a_cough_that_won't_go_away._my_fever_is_really_high|and_it's_hard_to_breathe._i've_been_coughing_up_a_lot_of_mucus.,"i've been feeling really tired and weak, and i have a cough that won't go away. my fever is really high, and it's hard to breathe. i've been coughing up a lot of mucus.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_feeling_really_tired_lately_and_have_had_this_cough_for_a_few_days._it's_getting_harder_to_breathe_and_i'm_coughing_up_a_lot_of_phlegm._my_fever_is_really_high_too.,i've been feeling really tired lately and have had this cough for a few days. it's getting harder to breathe and i'm coughing up a lot of phlegm. my fever is really high too.,1
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_feeling_really_weak_and_tired_lately|and_i_have_a_cough_that_just_won't_go_away._i've_also_been_running_a_high_fever|and_it's_been_hard_for_me_to_breathe._i've_been_coughing_up_a_lot_of_mucous.,"i've been feeling really weak and tired lately, and i have a cough that just won't go away. i've also been running a high fever, and it's been hard for me to breathe. i've been coughing up a lot of mucous.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_dry_cough_for_a_week|and_i'm_having_trouble_breathing._i_feel_weak_and_tired.,"i've been having a dry cough for a week, and i'm having trouble breathing. i feel weak and tired.",2
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_dry_cough|breathing_difficulties|and_a_high_fever._i'm_also_producing_a_lot_of_mucous_and_feel_incredibly_weak_and_tired.,"i've been having a dry cough, breathing difficulties, and a high fever. i'm also producing a lot of mucous and feel incredibly weak and tired.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_fever|a_cough|and_shortness_of_breath._i've_also_been_coughing_up_a_lot_of_thick|sticky_saliva._i'm_feeling_really_tired_and_worn_out.,"i've been having a fever, a cough, and shortness of breath. i've also been coughing up a lot of thick, sticky saliva. i'm feeling really tired and worn out.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_hard_time_breathing._i've_been_coughing_a_lot_and_i'm_coughing_up_a_lot_of_thick|sticky_mucus._i've_also_been_feeling_really_tired_and_weak.,"i've been having a hard time breathing. i've been coughing a lot and i'm coughing up a lot of thick, sticky mucus. i've also been feeling really tired and weak.",2
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_hard_time_breathing_lately._i've_been_coughing_a_lot|and_it's_hard_to_get_a_full_breath._i'm_also_feeling_really_tired_and_weak.,"i've been having a hard time breathing lately. i've been coughing a lot, and it's hard to get a full breath. i'm also feeling really tired and weak.",2
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_hard_time_breathing_lately._i_feel_like_i_can't_get_enough_air|and_i'm_always_coughing._i've_also_been_really_tired|and_i've_been_coughing_up_a_lot_of_mucus._i'm_not_sure_what's_wrong_with_me|but_i'm_really_worried.,"i've been having a hard time breathing lately. i feel like i can't get enough air, and i'm always coughing. i've also been really tired, and i've been coughing up a lot of mucus. i'm not sure what's wrong with me, but i'm really worried.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_hard_time_breathing_lately._i_feel_like_i_can't_get_enough_air|and_my_chest_feels_tight._i've_also_been_coughing_a_lot|and_i've_been_producing_a_lot_of_mucus.,"i've been having a hard time breathing lately. i feel like i can't get enough air, and my chest feels tight. i've also been coughing a lot, and i've been producing a lot of mucus.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_hard_time_breathing|and_i've_been_coughing_up_a_lot_of_mucous._i'm_also_feeling_really_tired_and_weak.,"i've been having a hard time breathing, and i've been coughing up a lot of mucous. i'm also feeling really tired and weak.",2
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_lot_of_trouble_breathing_lately._i've_been_coughing_up_a_lot_of_phlegm_and_my_chest_feels_tight._i'm_also_feeling_really_tired_and_weak.,i've been having a lot of trouble breathing lately. i've been coughing up a lot of phlegm and my chest feels tight. i'm also feeling really tired and weak.,1
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_lot_of_trouble_breathing|and_i've_been_coughing_a_lot._i_also_have_a_fever|and_i'm_feeling_really_weak._i'm_not_sure_what's_wrong_with_me|but_i'm_worried_that_it_might_be_something_serious.,"i've been having a lot of trouble breathing, and i've been coughing a lot. i also have a fever, and i'm feeling really weak. i'm not sure what's wrong with me, but i'm worried that it might be something serious.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_persistent_cough|trouble_breathing|and_fatigue._i_have_a_fever_and_i've_been_coughing_up_a_lot_of_thick|mucusy_sputum._i_feel_pretty_sick_because_of_how_tired_and_drained_i_am.,"i've been having a persistent cough, trouble breathing, and fatigue. i have a fever and i've been coughing up a lot of thick, mucusy sputum. i feel pretty sick because of how tired and drained i am.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_a_terrible_cough|i_can't_breathe_well|and_i'm_so_tired._i've_been_coughing_up_a_lot_of_thick|mucusy_stuff|and_i_have_a_fever._i_feel_really_bad.,"i've been having a terrible cough, i can't breathe well, and i'm so tired. i've been coughing up a lot of thick, mucusy stuff, and i have a fever. i feel really bad.",5
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing_and_i've_been_coughing_up_a_lot_of_mucus._i've_also_been_feeling_really_tired.,i've been having trouble breathing and i've been coughing up a lot of mucus. i've also been feeling really tired.,1
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing_for_a_few_weeks_now._it's_especially_bad_when_i_try_to_exercise_or_when_i'm_around_smoke_or_other_irritants._i_also_have_a_persistent_cough_and_i'm_always_tired.,i've been having trouble breathing for a few weeks now. it's especially bad when i try to exercise or when i'm around smoke or other irritants. i also have a persistent cough and i'm always tired.,1
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing_lately._i've_been_coughing_a_lot|and_my_chest_feels_tight._i've_also_been_feeling_very_tired_and_weak.,"i've been having trouble breathing lately. i've been coughing a lot, and my chest feels tight. i've also been feeling very tired and weak.",2
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing|a_cough_that_won't_go_away|and_i'm_exhausted._i've_been_coughing_up_a_lot_of_thick|mucusy_stuff_and_i_have_a_fever._i'm_just_so_tired_from_all_of_this.,"i've been having trouble breathing, a cough that won't go away, and i'm exhausted. i've been coughing up a lot of thick, mucusy stuff and i have a fever. i'm just so tired from all of this.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing|and_i've_been_coughing_a_lot._i'm_also_really_tired._i've_been_coughing_up_a_lot_of_thick|mucusy_stuff._it's_been_really_hard_to_deal_with_all_of_this.,"i've been having trouble breathing, and i've been coughing a lot. i'm also really tired. i've been coughing up a lot of thick, mucusy stuff. it's been really hard to deal with all of this.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing|and_i've_been_coughing_a_lot._i've_also_been_running_a_fever|and_i'm_feeling_really_tired._i'm_not_sure_what's_going_on|but_i'm_worried.,"i've been having trouble breathing, and i've been coughing a lot. i've also been running a fever, and i'm feeling really tired. i'm not sure what's going on, but i'm worried.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing|and_i've_been_coughing_a_lot._i've_been_coughing_up_a_lot_of_thick|mucoid_sputum_and_have_a_high_fever.,"i've been having trouble breathing, and i've been coughing a lot. i've been coughing up a lot of thick, mucoid sputum and have a high fever.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing|coughing_a_lot|and_feeling_exhausted._i_have_a_fever_and_have_been_coughing_up_a_lot_of_thick|sticky_mucus._i'm_just_so_tired_and_worn_out_from_dealing_with_this.,"i've been having trouble breathing, coughing a lot, and feeling exhausted. i have a fever and have been coughing up a lot of thick, sticky mucus. i'm just so tired and worn out from dealing with this.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing|coughing_a_lot|and_feeling_tired._i've_been_coughing_up_a_lot_of_thick|sticky_mucus_and_have_a_fever._i'm_just_feeling_really_run_down_and_exhausted_from_all_of_this.,"i've been having trouble breathing, coughing a lot, and feeling tired. i've been coughing up a lot of thick, sticky mucus and have a fever. i'm just feeling really run down and exhausted from all of this.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing|coughing_a_lot|and_running_a_fever._i've_also_been_coughing_up_a_lot_of_thick|mucusy_stuff|and_i'm_feeling_really_tired._i'm_not_sure_what's_going_on|but_i'm_not_feeling_well.,"i've been having trouble breathing, coughing a lot, and running a fever. i've also been coughing up a lot of thick, mucusy stuff, and i'm feeling really tired. i'm not sure what's going on, but i'm not feeling well.",6
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing|coughing|and_feeling_exhausted._i've_been_coughing_up_a_lot_of_thick|mucusy_stuff_and_have_a_fever._i'm_just_feeling_really_drained_and_tired.,"i've been having trouble breathing, coughing, and feeling exhausted. i've been coughing up a lot of thick, mucusy stuff and have a fever. i'm just feeling really drained and tired.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_been_having_trouble_breathing|i'm_coughing_a_lot|and_i'm_really_tired._i_have_a_fever_and_i'm_coughing_up_a_lot_of_mucus.,"i've been having trouble breathing, i'm coughing a lot, and i'm really tired. i have a fever and i'm coughing up a lot of mucus.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i've_had_this_cough_for_days|and_it's_really_hard_to_breathe._i'm_also_really_tired_and_weak|and_i_have_a_fever._i've_been_coughing_up_a_lot_of_mucus|and_it's_just_been_really_hard_to_deal_with_all_of_this.,"i've had this cough for days, and it's really hard to breathe. i'm also really tired and weak, and i have a fever. i've been coughing up a lot of mucus, and it's just been really hard to deal with all of this.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i_have_a_bad_cough_and_i'm_really_tired._i_have_a_high_fever_and_my_breathing_is_shallow._when_i_cough|a_lot_of_saliva_comes_out.,"i have a bad cough and i'm really tired. i have a high fever and my breathing is shallow. when i cough, a lot of saliva comes out.",2
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i_have_a_cough_that_has_been_going_on_for_a_few_days|and_i_feel_really_weak_and_tired._i_have_a_high_fever|and_my_breathing_is_getting_harder._i_also_cough_up_a_lot_of_mucus.,"i have a cough that has been going on for a few days, and i feel really weak and tired. i have a high fever, and my breathing is getting harder. i also cough up a lot of mucus.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i_have_a_cough_that_won't_go_away|and_i'm_having_trouble_breathing._i'm_also_really_weak_and_tired|and_my_fever_is_really_high._i'm_coughing_up_a_lot_of_mucus|and_i'm_really_angry_and_frustrated.,"i have a cough that won't go away, and i'm having trouble breathing. i'm also really weak and tired, and my fever is really high. i'm coughing up a lot of mucus, and i'm really angry and frustrated.",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i_have_a_fever_and_i_can't_breathe_through_my_nose_or_mouth._i'm_tired_and_i've_been_coughing_up_mucus._can_you_recommend_some_medications?,i have a fever and i can't breathe through my nose or mouth. i'm tired and i've been coughing up mucus. can you recommend some medications?,1
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i_have_been_coughing_a_lot_lately|and_it_is_hard_for_me_to_breathe._i_also_have_a_fever|and_i_feel_weak_and_tired.,"i have been coughing a lot lately, and it is hard for me to breathe. i also have a fever, and i feel weak and tired.",3
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i_have_been_having_a_hard_time_breathing_lately._i_have_a_dry_cough_and_i_am_coughing_up_a_lot_of_mucus._i_also_have_a_fever_and_i_am_feeling_very_weak_and_tired.,i have been having a hard time breathing lately. i have a dry cough and i am coughing up a lot of mucus. i also have a fever and i am feeling very weak and tired.,1
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i_have_been_having_high_fever_since_past_few_days|saliva_also_became_thick|dry_cough|weakness_also_seen,"i have been having high fever since past few days, saliva also became thick, dry cough, weakness also seen",4
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i_have_been_having_trouble_breathing_for_a_few_days._i_have_a_fever_and_a_lot_of_mucus._can_you_recommend_some_medicine?,i have been having trouble breathing for a few days. i have a fever and a lot of mucus. can you recommend some medicine?,1
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i_have_been_having_trouble_breathing_for_a_few_days._i_have_a_high_fever_and_i_feel_very_tired._can_you_recommend_some_medications_for_me?,i have been having trouble breathing for a few days. i have a high fever and i feel very tired. can you recommend some medications for me?,1
fhai50032_symptoms_to_disease_7k,Bronchial Asthma,i_have_been_suffering_from_dry_cough_and_difficulty_in_breathing_for_a_week_now._i_also_feel_weak_throughout_the_day.,i have been suffering from dry cough and difficulty in breathing for a week now. i also feel weak throughout the day.,1
fhai50032_symptoms_to_disease_7k,Bronchiolitis,for_the_first_few_days|the_symptoms_of_bronchiolitis_are_much_like_a_cold:_runny_nose._stuffy_nose._cough._sometimes_a_slight_fever._later|your_child_may_have_a_week_or_more_of_working_harder_than_usual_to_breathe|which_may_include_wheezing._many_infants_with_bronchiolitis_also_have_an_ear_infection_called_otitis_media.,"for the first few days, the symptoms of bronchiolitis are much like a cold: runny nose. stuffy nose. cough. sometimes a slight fever. later, your child may have a week or more of working harder than usual to breathe, which may include wheezing. many infants with bronchiolitis also have an ear infection called otitis media.",4
fhai50032_symptoms_to_disease_7k,Bronchitis,for_either_acute_bronchitis_or_chronic_bronchitis|signs_and_symptoms_may_include:_cough_production_of_mucus_(sputum)|which_can_be_clear|white|yellowish_gray_or_green_in_color_—_rarely|it_may_be_streaked_with_blood_fatigue_shortness_of_breath_slight_fever_and_chills_chest_discomfort_if_you_have_acute_bronchitis|you_might_have_cold_symptoms|such_as_a_mild_headache_or_body_aches._while_these_symptoms_usually_improve_in_about_a_week|you_may_have_a_nagging_cough_that_lingers_for_several_weeks._chronic_bronchitis_is_defined_as_a_productive_cough_that_lasts_at_least_three_months|with_recurring_bouts_occurring_for_at_least_two_consecutive_years._if_you_have_chronic_bronchitis|you're_likely_to_have_periods_when_your_cough_or_other_symptoms_worsen._at_those_times|you_may_have_an_acute_infection_on_top_of_chronic_bronchitis._when_to_see_a_doctor_see_your_doctor_if_your_cough:_lasts_more_than_three_weeks_prevents_you_from_sleeping_is_accompanied_by_fever_higher_than_100.4_f_(38_c)_produces_discolored_mucus_produces_blood_is_associated_with_wheezing_or_shortness_of_breath,"for either acute bronchitis or chronic bronchitis, signs and symptoms may include: cough production of mucus (sputum), which can be clear, white, yellowish gray or green in color — rarely, it may be streaked with blood fatigue shortness of breath slight fever and chills chest discomfort if you have acute bronchitis, you might have cold symptoms, such as a mild headache or body aches. while these symptoms usually improve in about a week, you may have a nagging cough that lingers for several weeks. chronic bronchitis is defined as a productive cough that lasts at least three months, with recurring bouts occurring for at least two consecutive years. if you have chronic bronchitis, you're likely to have periods when your cough or other symptoms worsen. at those times, you may have an acute infection on top of chronic bronchitis. when to see a doctor see your doctor if your cough: lasts more than three weeks prevents you from sleeping is accompanied by fever higher than 100.4 f (38 c) produces discolored mucus produces blood is associated with wheezing or shortness of breath",12
fhai50032_symptoms_to_disease_7k,Brucellosis,symptoms_of_brucellosis_may_show_up_anytime_from_a_few_days_to_a_few_months_after_you've_been_infected._signs_and_symptoms_are_similar_to_those_of_the_flu_and_include:_fever_chills_loss_of_appetite_sweats_weakness_fatigue_joint|muscle_and_back_pain_headache_brucellosis_symptoms_may_disappear_for_weeks_or_months_and_then_return._some_people_have_chronic_brucellosis_and_experience_symptoms_for_years|even_after_treatment._long_term_signs_and_symptoms_may_include:_fatigue_recurrent_fevers_inflammation_of_the_inner_lining_of_the_heart_chambers_(endocarditis)_joint_inflammation_(arthritis)_arthritis_of_the_spinal_bones_(spondylitis)_arthritis_of_joints_where_the_spine_and_pelvis_connect_(sacroiliitis),"symptoms of brucellosis may show up anytime from a few days to a few months after you've been infected. signs and symptoms are similar to those of the flu and include: fever chills loss of appetite sweats weakness fatigue joint, muscle and back pain headache brucellosis symptoms may disappear for weeks or months and then return. some people have chronic brucellosis and experience symptoms for years, even after treatment. long term signs and symptoms may include: fatigue recurrent fevers inflammation of the inner lining of the heart chambers (endocarditis) joint inflammation (arthritis) arthritis of the spinal bones (spondylitis) arthritis of joints where the spine and pelvis connect (sacroiliitis)",3
